timestamp,event_type,track_id,category,class_name,confidence,plate_text,ocr_confidence,status,details
19:40:39,INTRUSION_ALERT,1,human,person,0.739,-,0.0,VERIFIED,"Crossed tripwire at (1522, 601)"
19:40:45,INTRUSION_ALERT,3,human,person,0.789,-,0.0,VERIFIED,"Crossed tripwire at (269, 605)"
19:40:47,INTRUSION_ALERT,4,human,person,0.832,-,0.0,VERIFIED,"Crossed tripwire at (712, 599)"
19:40:55,INTRUSION_ALERT,34,human,person,0.767,-,0.0,VERIFIED,"Crossed tripwire at (1790, 595)"
19:43:00,INTRUSION_ALERT,1,human,person,0.739,-,0.0,VERIFIED,"Crossed tripwire at (1522, 601)"
19:43:06,VEHICLE_ANPR,1,vehicle,car,0.849,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 86%
19:43:06,VEHICLE_ANPR,2,vehicle,car,0.836,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 80%
19:43:50,VEHICLE_ANPR,1,vehicle,car,0.849,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 86%
19:43:50,VEHICLE_ANPR,2,vehicle,car,0.836,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 80%
19:43:26,VEHICLE_ANPR,1,vehicle,car,0.849,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 86%
19:43:26,VEHICLE_ANPR,2,vehicle,car,0.836,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 80%
19:44:03,INTRUSION_ALERT,1,human,person,0.739,-,0.0,VERIFIED,"Crossed tripwire at (1522, 601)"
19:44:07,INTRUSION_ALERT,3,human,person,0.789,-,0.0,VERIFIED,"Crossed tripwire at (269, 605)"
19:44:09,INTRUSION_ALERT,4,human,person,0.832,-,0.0,VERIFIED,"Crossed tripwire at (712, 599)"
19:44:17,INTRUSION_ALERT,34,human,person,0.767,-,0.0,VERIFIED,"Crossed tripwire at (1790, 595)"
19:44:21,INTRUSION_ALERT,2,human,person,0.479,-,0.0,VERIFIED,"Crossed tripwire at (1584, 610)"
19:44:39,INTRUSION_ALERT,7,human,person,0.723,-,0.0,VERIFIED,"Crossed tripwire at (1092, 599)"
19:44:48,INTRUSION_ALERT,14,human,person,0.59,-,0.0,VERIFIED,"Crossed tripwire at (582, 605)"
19:45:05,INTRUSION_ALERT,45,human,person,0.712,-,0.0,VERIFIED,"Crossed tripwire at (1050, 598)"
19:45:10,INTRUSION_ALERT,19,human,person,0.805,-,0.0,VERIFIED,"Crossed tripwire at (950, 603)"
19:45:10,INTRUSION_ALERT,56,human,person,0.761,-,0.0,VERIFIED,"Crossed tripwire at (1278, 600)"
19:45:15,INTRUSION_ALERT,27,human,person,0.724,-,0.0,VERIFIED,"Crossed tripwire at (556, 601)"
19:45:19,INTRUSION_ALERT,69,human,person,0.736,-,0.0,VERIFIED,"Crossed tripwire at (739, 597)"
19:45:25,INTRUSION_ALERT,33,human,person,0.711,-,0.0,VERIFIED,"Crossed tripwire at (992, 601)"
19:45:38,INTRUSION_ALERT,12,human,person,0.646,-,0.0,VERIFIED,"Crossed tripwire at (1230, 605)"
19:46:26,VEHICLE_ANPR,1,vehicle,car,0.849,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 86%
19:46:26,VEHICLE_ANPR,2,vehicle,car,0.836,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 80%
19:50:21,INTRUSION_ALERT,1,human,person,0.739,-,0.0,VERIFIED,"Crossed tripwire at (1522, 601)"
19:50:25,INTRUSION_ALERT,3,human,person,0.789,-,0.0,VERIFIED,"Crossed tripwire at (269, 605)"
19:50:26,INTRUSION_ALERT,4,human,person,0.832,-,0.0,VERIFIED,"Crossed tripwire at (712, 599)"
19:50:33,INTRUSION_ALERT,34,human,person,0.767,-,0.0,VERIFIED,"Crossed tripwire at (1790, 595)"
19:50:36,INTRUSION_ALERT,2,human,person,0.479,-,0.0,VERIFIED,"Crossed tripwire at (1584, 610)"
19:50:41,VEHICLE_ANPR,1,vehicle,car,0.849,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 86%
19:50:41,VEHICLE_ANPR,2,vehicle,car,0.836,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 80%
19:51:21,INTRUSION_ALERT,1,human,person,0.739,-,0.0,VERIFIED,"Crossed tripwire at (1522, 601)"
19:51:29,INTRUSION_ALERT,3,human,person,0.789,-,0.0,VERIFIED,"Crossed tripwire at (269, 605)"
19:51:31,INTRUSION_ALERT,4,human,person,0.832,-,0.0,VERIFIED,"Crossed tripwire at (712, 599)"
19:51:39,INTRUSION_ALERT,34,human,person,0.767,-,0.0,VERIFIED,"Crossed tripwire at (1790, 595)"
19:51:43,INTRUSION_ALERT,2,human,person,0.479,-,0.0,VERIFIED,"Crossed tripwire at (1584, 610)"
19:51:53,VEHICLE_ANPR,1,vehicle,car,0.849,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 86%
19:51:53,VEHICLE_ANPR,2,vehicle,car,0.836,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 80%
19:51:54,VEHICLE_ANPR,1,vehicle,car,0.884,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 86%
19:51:54,VEHICLE_ANPR,2,vehicle,car,0.779,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 80%
19:51:55,VEHICLE_ANPR,1,vehicle,car,0.901,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 86%
19:51:55,VEHICLE_ANPR,2,vehicle,car,0.746,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 80%
19:51:56,VEHICLE_ANPR,1,vehicle,car,0.875,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 86%
19:51:56,VEHICLE_ANPR,2,vehicle,car,0.562,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 80%
19:51:58,VEHICLE_ANPR,1,vehicle,car,0.89,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 86%
19:51:58,VEHICLE_ANPR,2,vehicle,car,0.588,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 80%
19:51:59,VEHICLE_ANPR,1,vehicle,car,0.919,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 86%
19:51:59,VEHICLE_ANPR,2,vehicle,car,0.517,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 80%
19:52:00,VEHICLE_ANPR,1,vehicle,car,0.924,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 86%
19:52:00,VEHICLE_ANPR,2,vehicle,car,0.476,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 80%
19:52:00,VEHICLE_ANPR,1,vehicle,car,0.935,PLATE_UNREADABLE,0.0,FLAGGED_FOR_MANUAL_REVIEW,Plate Conf: 86%
